dteday,yr,mnth,hr,weekday,workingday,season,weathersit,cnt,registered,casual
2011-01-01,2011,1,0,2011-01-01,tidak,semi,Cerah,16,13,3
2011-01-01,2011,1,1,2011-01-01,tidak,semi,Cerah,40,32,8
2011-01-01,2011,1,2,2011-01-01,tidak,semi,Cerah,32,27,5
2011-01-01,2011,1,3,2011-01-01,tidak,semi,Cerah,13,10,3
2011-01-01,2011,1,4,2011-01-01,tidak,semi,Cerah,1,1,0
2011-01-01,2011,1,5,2011-01-01,tidak,semi,berkabut,1,1,0
2011-01-01,2011,1,6,2011-01-01,tidak,semi,Cerah,2,0,2
2011-01-01,2011,1,7,2011-01-01,tidak,semi,Cerah,3,2,1
2011-01-01,2011,1,8,2011-01-01,tidak,semi,Cerah,8,7,1
2011-01-01,2011,1,9,2011-01-01,tidak,semi,Cerah,14,6,8
2011-01-01,2011,1,10,2011-01-01,tidak,semi,Cerah,36,24,12
2011-01-01,2011,1,11,2011-01-01,tidak,semi,Cerah,56,30,26
2011-01-01,2011,1,12,2011-01-01,tidak,semi,Cerah,84,55,29
2011-01-01,2011,1,13,2011-01-01,tidak,semi,berkabut,94,47,47
2011-01-01,2011,1,14,2011-01-01,tidak,semi,berkabut,106,71,35
2011-01-01,2011,1,15,2011-01-01,tidak,semi,berkabut,110,70,40
2011-01-01,2011,1,16,2011-01-01,tidak,semi,berkabut,93,52,41
2011-01-01,2011,1,17,2011-01-01,tidak,semi,berkabut,67,52,15
2011-01-01,2011,1,18,2011-01-01,tidak,semi,Hujan Ringan/salju,35,26,9
2011-01-01,2011,1,19,2011-01-01,tidak,semi,Hujan Ringan/salju,37,31,6
2011-01-01,2011,1,20,2011-01-01,tidak,semi,berkabut,36,25,11
2011-01-01,2011,1,21,2011-01-01,tidak,semi,berkabut,34,31,3
2011-01-01,2011,1,22,2011-01-01,tidak,semi,berkabut,28,17,11
2011-01-01,2011,1,23,2011-01-01,tidak,semi,berkabut,39,24,15
2011-01-02,2011,1,0,2011-01-02,tidak,semi,berkabut,17,13,4
2011-01-02,2011,1,1,2011-01-02,tidak,semi,berkabut,17,16,1
2011-01-02,2011,1,2,2011-01-02,tidak,semi,berkabut,9,8,1
2011-01-02,2011,1,3,2011-01-02,tidak,semi,berkabut,6,4,2
2011-01-02,2011,1,4,2011-01-02,tidak,semi,berkabut,3,1,2
2011-01-02,2011,1,6,2011-01-02,tidak,semi,Hujan Ringan/salju,2,2,0
2011-01-02,2011,1,7,2011-01-02,tidak,semi,berkabut,1,1,0
2011-01-02,2011,1,8,2011-01-02,tidak,semi,Hujan Ringan/salju,8,8,0
2011-01-02,2011,1,9,2011-01-02,tidak,semi,berkabut,20,19,1
2011-01-02,2011,1,10,2011-01-02,tidak,semi,berkabut,53,46,7
2011-01-02,2011,1,11,2011-01-02,tidak,semi,berkabut,70,54,16
2011-01-02,2011,1,12,2011-01-02,tidak,semi,berkabut,93,73,20
2011-01-02,2011,1,13,2011-01-02,tidak,semi,berkabut,75,64,11
2011-01-02,2011,1,14,2011-01-02,tidak,semi,Hujan Ringan/salju,59,55,4
2011-01-02,2011,1,15,2011-01-02,tidak,semi,Hujan Ringan/salju,74,55,19
2011-01-02,2011,1,16,2011-01-02,tidak,semi,Hujan Ringan/salju,76,67,9
2011-01-02,2011,1,17,2011-01-02,tidak,semi,Cerah,65,58,7
2011-01-02,2011,1,18,2011-01-02,tidak,semi,berkabut,53,43,10
2011-01-02,2011,1,19,2011-01-02,tidak,semi,Cerah,30,29,1
2011-01-02,2011,1,20,2011-01-02,tidak,semi,Cerah,22,17,5
2011-01-02,2011,1,21,2011-01-02,tidak,semi,Cerah,31,20,11
2011-01-02,2011,1,22,2011-01-02,tidak,semi,Cerah,9,9,0
2011-01-02,2011,1,23,2011-01-02,tidak,semi,Cerah,8,8,0
2011-01-03,2011,1,0,2011-01-03,iya,semi,Cerah,5,5,0
2011-01-03,2011,1,1,2011-01-03,iya,semi,Cerah,2,2,0
2011-01-03,2011,1,4,2011-01-03,iya,semi,Cerah,1,1,0
2011-01-03,2011,1,5,2011-01-03,iya,semi,Cerah,3,3,0
2011-01-03,2011,1,6,2011-01-03,iya,semi,Cerah,30,30,0
2011-01-03,2011,1,7,2011-01-03,iya,semi,Cerah,64,63,1
2011-01-03,2011,1,8,2011-01-03,iya,semi,Cerah,154,153,1
2011-01-03,2011,1,9,2011-01-03,iya,semi,Cerah,88,81,7
2011-01-03,2011,1,10,2011-01-03,iya,semi,Cerah,44,33,11
2011-01-03,2011,1,11,2011-01-03,iya,semi,Cerah,51,41,10
2011-01-03,2011,1,12,2011-01-03,iya,semi,Cerah,61,48,13
2011-01-03,2011,1,13,2011-01-03,iya,semi,Cerah,61,53,8
2011-01-03,2011,1,14,2011-01-03,iya,semi,Cerah,77,66,11
2011-01-03,2011,1,15,2011-01-03,iya,semi,Cerah,72,58,14
2011-01-03,2011,1,16,2011-01-03,iya,semi,Cerah,76,67,9
2011-01-03,2011,1,17,2011-01-03,iya,semi,Cerah,157,146,11
2011-01-03,2011,1,18,2011-01-03,iya,semi,Cerah,157,148,9
2011-01-03,2011,1,19,2011-01-03,iya,semi,Cerah,110,102,8
2011-01-03,2011,1,20,2011-01-03,iya,semi,Cerah,52,49,3
2011-01-03,2011,1,21,2011-01-03,iya,semi,Cerah,52,49,3
2011-01-03,2011,1,22,2011-01-03,iya,semi,Cerah,20,20,0
2011-01-03,2011,1,23,2011-01-03,iya,semi,Cerah,12,11,1
2011-01-04,2011,1,0,2011-01-04,iya,semi,Cerah,5,5,0
2011-01-04,2011,1,1,2011-01-04,iya,semi,Cerah,2,2,0
2011-01-04,2011,1,2,2011-01-04,iya,semi,Cerah,1,1,0
2011-01-04,2011,1,4,2011-01-04,iya,semi,Cerah,2,2,0
2011-01-04,2011,1,5,2011-01-04,iya,semi,Cerah,4,4,0
2011-01-04,2011,1,6,2011-01-04,iya,semi,Cerah,36,36,0
2011-01-04,2011,1,7,2011-01-04,iya,semi,Cerah,94,92,2
2011-01-04,2011,1,8,2011-01-04,iya,semi,Cerah,179,177,2
2011-01-04,2011,1,9,2011-01-04,iya,semi,Cerah,100,98,2
2011-01-04,2011,1,10,2011-01-04,iya,semi,berkabut,42,37,5
2011-01-04,2011,1,11,2011-01-04,iya,semi,Cerah,57,50,7
2011-01-04,2011,1,12,2011-01-04,iya,semi,Cerah,78,66,12
2011-01-04,2011,1,13,2011-01-04,iya,semi,Cerah,97,79,18
2011-01-04,2011,1,14,2011-01-04,iya,semi,Cerah,63,54,9
2011-01-04,2011,1,15,2011-01-04,iya,semi,Cerah,65,48,17
2011-01-04,2011,1,16,2011-01-04,iya,semi,Cerah,83,68,15
2011-01-04,2011,1,17,2011-01-04,iya,semi,Cerah,212,202,10
2011-01-04,2011,1,18,2011-01-04,iya,semi,Cerah,182,179,3
2011-01-04,2011,1,19,2011-01-04,iya,semi,Cerah,112,110,2
2011-01-04,2011,1,20,2011-01-04,iya,semi,Cerah,54,53,1
2011-01-04,2011,1,21,2011-01-04,iya,semi,Cerah,48,48,0
2011-01-04,2011,1,22,2011-01-04,iya,semi,Cerah,35,34,1
2011-01-04,2011,1,23,2011-01-04,iya,semi,Cerah,11,9,2
2011-01-05,2011,1,0,2011-01-05,iya,semi,Cerah,6,6,0
2011-01-05,2011,1,1,2011-01-05,iya,semi,Cerah,6,6,0
2011-01-05,2011,1,2,2011-01-05,iya,semi,Cerah,2,2,0
2011-01-05,2011,1,4,2011-01-05,iya,semi,Cerah,2,2,0
2011-01-05,2011,1,5,2011-01-05,iya,semi,Cerah,3,3,0
2011-01-05,2011,1,6,2011-01-05,iya,semi,Cerah,33,33,0
2011-01-05,2011,1,7,2011-01-05,iya,semi,Cerah,88,87,1
2011-01-05,2011,1,8,2011-01-05,iya,semi,Cerah,195,192,3
2011-01-05,2011,1,9,2011-01-05,iya,semi,Cerah,115,109,6
2011-01-05,2011,1,10,2011-01-05,iya,semi,Cerah,57,53,4
